Date,Open,High,Low,Close,Adj Close,Volume
"Nov 15, 2024",176.75,177.92,175.89,176.93,176.06,"53,02,100"
"Nov 14, 2024",183,183.8,177.49,178.4,177.52,"50,85,600"
"Nov 13, 2024",182.95,186.3,182.76,183.56,182.65,"39,34,800"
"Nov 12, 2024",185.07,185.7,180.59,182.64,181.74,"31,58,000"
"Nov 11, 2024",186.63,187.47,183.7,184.56,183.65,"33,71,900"
"Nov 8, 2024",179.65,186.42,179.45,184.81,183.9,"46,76,500"
"Nov 7, 2024",181.02,181.02,176.77,178.85,177.97,"50,84,200"
"Nov 6, 2024",181.5,182.06,178.5,180.76,179.87,"59,39,500"
"Nov 5, 2024",172.36,175.47,171.77,175.26,174.4,"36,07,300"
"Nov 4, 2024",172.3,174.68,171.45,171.76,170.91,"41,97,400"
"Nov 1, 2024",172.76,175.27,171.59,171.7,170.85,"39,84,900"
"Oct 31, 2024",172,173.62,170.43,171.78,170.93,"51,77,100"
"Oct 30, 2024",172.98,176.53,172.51,174.64,173.78,"36,94,000"
"Oct 29, 2024",174.56,174.9,172.77,174.05,173.19,"52,19,300"
"Oct 28, 2024",179.98,180.58,175.21,175.36,174.49,"56,87,400"
"Oct 25, 2024",180,181.42,178.3,179.1,178.22,"39,74,900"
"Oct 24, 2024",181.9,182.21,179.63,179.74,178.85,"43,66,800"
"Oct 23, 2024",179.7,184.98,179.62,181.69,180.79,"97,88,600"
"Oct 22, 2024",184.5,185,175.75,176.66,175.79,"1,56,36,200"
"Oct 21, 2024",192.91,194.39,192.02,194.23,193.27,"47,28,800"
"Oct 18, 2024",193.1,193.44,191.14,192.61,191.66,"30,75,900"
"Oct 17, 2024",194.09,194.8,192.2,192.62,191.67,"26,33,300"
"Oct 16, 2024",190.5,192.22,189.92,192.18,191.23,"29,12,800"
"Oct 15, 2024",193.85,194.33,189.76,190.57,189.63,"38,24,300"
"Oct 14, 2024",191.98,193.93,191.66,192.63,191.68,"31,32,900"
"Oct 11, 2024",189.41,191.77,189.06,191.16,190.22,"29,83,900"
"Oct 10, 2024",188.15,189.75,187.39,188.12,187.19,"23,00,900"
"Oct 9, 2024",186.63,189.42,186.5,189.28,188.35,"23,12,600"
